Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,xG,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist
Andrea Pinamonti,it ITA,FW,Inter,it Serie A,21.0,1999.0,1.09,1.0,4.0,2.0,0.7,50.0,2.13,1.07,0.25,0.5,14.03
Andrea Pinamonti,it ITA,FW,Empoli,it Serie A,22.0,1999.0,31.9,13.0,86.0,23.0,12.07,26.07,2.7,0.72,0.1,0.39,15.07
Andrea Pinamonti,it ITA,FW,Sassuolo,it Serie A,23.0,1999.0,24.0,5.0,66.0,21.0,7.01,31.08,2.75,0.87,0.06,0.19,15.03
Andrea Pinamonti,it ITA,FW,Sassuolo,it Serie A,24.0,1999.0,34.2,11.0,80.0,19.0,8.09,23.08,2.34,0.56,0.11,0.47,16.04
Andreas Christensen,dk DEN,DF,Chelsea,eng Premier League,23.0,1996.0,19.05,0.0,7.0,2.0,0.5,28.06,0.36,0.1,0.0,0.0,12.07
Andreas Christensen,dk DEN,DF,Chelsea,eng Premier League,24.0,1996.0,15.02,0.0,3.0,0.0,0.1,0.0,0.2,0.0,0.0,0.0,12.07
Andreas Christensen,dk DEN,DF,Chelsea,eng Premier League,25.0,1996.0,16.06,0.0,5.0,0.0,0.6,0.0,0.3,0.0,0.0,0.0,19.07
Andreas Christensen,dk DEN,DF,Barcelona,es La Liga,26.0,1996.0,19.06,1.0,10.0,5.0,1.0,50.0,0.51,0.26,0.1,0.2,12.02
Andreas Christensen,dk DEN,DF-MF,Barcelona,es La Liga,27,1996,22.0,2.0,12.0,4.0,1.0,33.3,0.55,0.18,0.17,0.5,13.0
Andrej Kramarić,hr CRO,FW-MF,Hoffenheim,de Bundesliga,28,1991,15.08,12.0,41.0,21.0,9.06,51.2,2.59,1.33,0.24,0.48,14.08
Andrej Kramarić,hr CRO,FW-MF,Hoffenheim,de Bundesliga,29,1991,26.04,20.0,91.0,39.0,14.08,42.9,3.44,1.48,0.16,0.38,18.04
Andrej Kramarić,hr CRO,FW-MF,Hoffenheim,de Bundesliga,30,1991,30.01,6.0,93.0,35.0,12.06,37.6,3.09,1.16,0.06,0.17,15.08
Andrej Kramarić,hr CRO,MF-FW,Hoffenheim,de Bundesliga,31,1991,26.05,12.0,57.0,21.0,13.02,36.8,2.15,0.79,0.14,0.38,18.0
Andrej Kramarić,hr CRO,MF-FW,Hoffenheim,de Bundesliga,32,1991,24.04,15.0,64.0,29.0,11.01,45.3,2.62,1.19,0.16,0.34,20.01
Andrew Robertson,sct SCO,DF,Liverpool,eng Premier League,25.0,1994.0,34.6,2.0,22.0,6.0,1.08,27.03,0.64,0.17,0.09,0.33,18.06
Andrew Robertson,sct SCO,DF,Liverpool,eng Premier League,26.0,1994.0,37.6,1.0,19.0,5.0,1.05,26.03,0.51,0.13,0.05,0.2,17.04
Andrew Robertson,sct SCO,DF,Liverpool,eng Premier League,27.0,1994.0,28.02,3.0,18.0,8.0,1.04,44.4,0.64,0.28,0.17,0.38,16.09
Andrew Robertson,sct SCO,DF,Liverpool,eng Premier League,28.0,1994.0,28.07,0.0,13.0,2.0,1.03,15.04,0.45,0.07,0.0,0.0,14.05
Andrew Robertson,sct SCO,DF,Liverpool,eng Premier League,29.0,1994.0,18.08,3.0,12.0,6.0,1.09,50.0,0.64,0.32,0.25,0.5,12.05
André Gomes,pt POR,MF,Everton,eng Premier League,26.0,1993.0,16.02,0.0,5.0,0.0,0.2,0.0,0.31,0.0,0.0,0.0,23.05
André Gomes,pt POR,MF,Everton,eng Premier League,27.0,1993.0,17.04,0.0,14.0,3.0,0.5,21.04,0.8,0.17,0.0,0.0,26.07
André Gomes,pt POR,MF,Everton,eng Premier League,28.0,1993.0,6.09,0.0,14.0,4.0,0.7,28.06,2.04,0.58,0.0,0.0,23.05
André Gomes,pt POR,MF,Lille,fr Ligue 1,29.0,1993.0,18.01,3.0,18.0,5.0,1.01,27.08,0.99,0.28,0.17,0.6,21.02
André Gomes,pt POR,MF-FW,Everton,eng Premier League,30,1993,5.06,1.0,8.0,4.0,0.3,50.0,1.42,0.71,0.13,0.25,22.04
André Silva,pt POR,FW,Eint Frankfurt,de Bundesliga,23.0,1995.0,17.75,12.0,56.0,20.0,10.28,18.5,3.04,0.57,0.1,0.55,11.53
